#AGE=10.000 EEPS=213
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1     
  67  0.644189  3.7607  4.6716 -0.4285  5.8673  6.2212  5.8726  5.7271  5.6836  5.6773  5.9168
  68  0.647425  3.7625  4.6672 -0.4145  5.8336  6.1808  5.8375  5.6952  5.6536  5.6484  5.8816
  69  0.650571  3.7643  4.6628 -0.4009  5.8004  6.1409  5.8031  5.6640  5.6242  5.6202  5.8471
  70  0.653746  3.7661  4.6583 -0.3870  5.7666  6.1000  5.7680  5.6323  5.5944  5.5914  5.8119
  71  0.656765  3.7679  4.6541 -0.3739  5.7345  6.0612  5.7348  5.6022  5.5662  5.5642  5.7785
  72  0.659851  3.7696  4.6496 -0.3604  5.7016  6.0215  5.7007  5.5713  5.5371  5.5361  5.7442
  73  0.662799  3.7713  4.6452 -0.3474  5.6702  5.9837  5.6682  5.5418  5.5092  5.5093  5.7115
  74  0.665716  3.7729  4.6409 -0.3346  5.6395  5.9474  5.6365  5.5128  5.4819  5.4829  5.6797
  75  0.668519  3.7745  4.6366 -0.3221  5.6098  5.9124  5.6058  5.4847  5.4553  5.4572  5.6489
  76  0.671270  3.7761  4.6324 -0.3099  5.5808  5.8784  5.5759  5.4573  5.4293  5.4321  5.6190
  77  0.673949  3.7776  4.6282 -0.2980  5.5525  5.8452  5.5467  5.4304  5.4038  5.4075  5.5896
  78  0.676568  3.7790  4.6241 -0.2863  5.5247  5.8127  5.5180  5.4041  5.3789  5.3834  5.5608
  79  0.679216  3.7805  4.6198 -0.2744  5.4965  5.7796  5.4890  5.3774  5.3535  5.3589  5.5317
  80  0.681818  3.7820  4.6156 -0.2627  5.4686  5.7470  5.4603  5.3510  5.3285  5.3347  5.5028
  81  0.684344  3.7834  4.6114 -0.2513  5.4414  5.7152  5.4323  5.3253  5.3041  5.3111  5.4747
  82  0.688789  3.7858  4.6040 -0.2312  5.3936  5.6594  5.3831  5.2801  5.2611  5.2695  5.4253
  83  0.693339  3.7884  4.5962 -0.2103  5.3441  5.6016  5.3321  5.2332  5.2166  5.2264  5.3741
  84  0.697802  3.7909  4.5883 -0.1897  5.2950  5.5445  5.2817  5.1868  5.1725  5.1836  5.3234
  85  0.702293  3.7934  4.5802 -0.1687  5.2452  5.4864  5.2306  5.1397  5.1278  5.1402  5.2719
  86  0.706690  3.7959  4.5721 -0.1480  5.1959  5.4289  5.1800  5.0932  5.0835  5.0973  5.2210
  87  0.710905  3.7983  4.5643 -0.1282  5.1489  5.3742  5.1318  5.0487  5.0412  5.0562  5.1724
  88  0.715482  3.8009  4.5553 -0.1059  5.0963  5.3135  5.0779  4.9990  4.9938  5.0101  5.1183
  89  0.720005  3.8035  4.5461 -0.0834  5.0438  5.2532  5.0241  4.9492  4.9462  4.9638  5.0642
  90  0.724577  3.8061  4.5363 -0.0604  4.9897  5.1910  4.9689  4.8981  4.8973  4.9162  5.0085
  91  0.729137  3.8087  4.5259 -0.0369  4.9344  5.1264  4.9124  4.8462  4.8478  4.8679  4.9515
  92  0.733681  3.8113  4.5151 -0.0131  4.8780  5.0605  4.8548  4.7932  4.7971  4.8183  4.8933
  93  0.738205  3.8138  4.5036  0.0112  4.8202  4.9940  4.7958  4.7387  4.7448  4.7672  4.8338
  94  0.742701  3.8163  4.4913  0.0359  4.7609  4.9273  4.7355  4.6822  4.6905  4.7140  4.7731
  95  0.747165  3.8187  4.4785  0.0611  4.7004  4.8596  4.6739  4.6245  4.6348  4.6594  4.7112
  96  0.751589  3.8211  4.4650  0.0866  4.6388  4.7908  4.6112  4.5657  4.5780  4.6037  4.6482
  97  0.755946  3.8234  4.4508  0.1126  4.5764  4.7210  4.5477  4.5060  4.5203  4.5470  4.5843
  98  0.760222  3.8257  4.4361  0.1388  4.5130  4.6505  4.4835  4.4456  4.4617  4.4894  4.5196
  99  0.764409  3.8279  4.4208  0.1653  4.4489  4.5794  4.4184  4.3843  4.4022  4.4308  4.4541
 100  0.768496  3.8300  4.4050  0.1920  4.3841  4.5079  4.3527  4.3223  4.3419  4.3714  4.3880
 101  0.772473  3.8321  4.3887  0.2188  4.3188  4.4360  4.2865  4.2597  4.2810  4.3113  4.3214
 102  0.776330  3.8341  4.3720  0.2457  4.2532  4.3641  4.2202  4.1969  4.2198  4.2508  4.2547
 103  0.780055  3.8360  4.3550  0.2725  4.1876  4.2922  4.1538  4.1339  4.1584  4.1901  4.1879
 104  0.783642  3.8379  4.3377  0.2993  4.1220  4.2206  4.0874  4.0709  4.0968  4.1293  4.1212
 105  0.787084  3.8397  4.3200  0.3260  4.0565  4.1493  4.0212  4.0080  4.0353  4.0683  4.0546
 106  0.790377  3.8414  4.3021  0.3525  3.9912  4.0784  3.9552  3.9452  3.9738  4.0074  3.9883
 107  0.793519  3.8430  4.2839  0.3788  3.9263  4.0082  3.8897  3.8827  3.9125  3.9466  3.9224
 108  0.796508  3.8445  4.2656  0.4049  3.8618  3.9387  3.8246  3.8206  3.8515  3.8861  3.8570
 109  0.799349  3.8459  4.2470  0.4307  3.7980  3.8701  3.7602  3.7590  3.7909  3.8260  3.7923
 110  0.802040  3.8472  4.2281  0.4563  3.7347  3.8023  3.6965  3.6978  3.7306  3.7661  3.7282
 111  0.804593  3.8484  4.2088  0.4816  3.6719  3.7354  3.6333  3.6371  3.6706  3.7064  3.6647
 112  0.805289  3.8487  4.2034  0.4887  3.6543  3.7167  3.6155  3.6200  3.6537  3.6896  3.6469
 113  0.805981  3.8490  4.1978  0.4958  3.6365  3.6978  3.5976  3.6027  3.6367  3.6726  3.6289
 114  0.806669  3.8493  4.1921  0.5030  3.6186  3.6788  3.5796  3.5854  3.6195  3.6555  3.6108
 115  0.807353  3.8496  4.1864  0.5103  3.6006  3.6597  3.5615  3.5678  3.6022  3.6382  3.5926
 116  0.808033  3.8499  4.1806  0.5176  3.5824  3.6405  3.5432  3.5502  3.5847  3.6208  3.5742
 117  0.808709  3.8501  4.1747  0.5249  3.5641  3.6212  3.5248  3.5324  3.5670  3.6032  3.5557
 118  0.809381  3.8504  4.1687  0.5324  3.5456  3.6017  3.5062  3.5144  3.5492  3.5854  3.5371
 119  0.810049  3.8506  4.1626  0.5398  3.5270  3.5821  3.4875  3.4963  3.5312  3.5675  3.5183
 120  0.810712  3.8509  4.1564  0.5474  3.5082  3.5623  3.4686  3.4780  3.5131  3.5494  3.4994
 121  0.811371  3.8511  4.1502  0.5549  3.4893  3.5425  3.4496  3.4596  3.4948  3.5312  3.4803
 122  0.812026  3.8514  4.1439  0.5626  3.4703  3.5225  3.4305  3.4410  3.4764  3.5128  3.4611
 123  0.812676  3.8516  4.1374  0.5703  3.4511  3.5024  3.4112  3.4223  3.4578  3.4942  3.4418
 124  0.813322  3.8518  4.1310  0.5780  3.4318  3.4822  3.3919  3.4035  3.4391  3.4756  3.4223
 125  0.813964  3.8521  4.1244  0.5858  3.4123  3.4618  3.3723  3.3845  3.4202  3.4567  3.4028
 126  0.814601  3.8523  4.1178  0.5936  3.3928  3.4414  3.3527  3.3654  3.4012  3.4378  3.3830
 127  0.815234  3.8525  4.1112  0.6015  3.3730  3.4207  3.3329  3.3461  3.3821  3.4187  3.3632
 128  0.815860  3.8528  4.1047  0.6095  3.3531  3.3997  3.3129  3.3268  3.3629  3.3996  3.3431
 129  0.816481  3.8531  4.0981  0.6175  3.3331  3.3786  3.2928  3.3074  3.3437  3.3803  3.3229
 130  0.817098  3.8534  4.0915  0.6256  3.3130  3.3574  3.2726  3.2878  3.3243  3.3610  3.3026
 131  0.817711  3.8536  4.0848  0.6337  3.2928  3.3361  3.2523  3.2681  3.3047  3.3415  3.2822
 132  0.818320  3.8539  4.0780  0.6418  3.2724  3.3148  3.2318  3.2483  3.2849  3.3218  3.2617
 133  0.818923  3.8541  4.0709  0.6501  3.2518  3.2934  3.2112  3.2281  3.2649  3.3018  3.2410
 134  0.819519  3.8542  4.0635  0.6584  3.2310  3.2718  3.1903  3.2077  3.2446  3.2814  3.2201
 135  0.820108  3.8543  4.0558  0.6667  3.2100  3.2502  3.1692  3.1870  3.2238  3.2607  3.1989
 136  0.820689  3.8544  4.0478  0.6752  3.1887  3.2285  3.1479  3.1659  3.2027  3.2395  3.1776
 137  0.821261  3.8543  4.0394  0.6837  3.1670  3.2066  3.1263  3.1445  3.1812  3.2179  3.1559
 138  0.821824  3.8542  4.0307  0.6924  3.1452  3.1847  3.1044  3.1227  3.1593  3.1959  3.1341
 139  0.822379  3.8541  4.0216  0.7011  3.1230  3.1626  3.0823  3.1005  3.1369  3.1735  3.1120
 140  0.822924  3.8539  4.0122  0.7099  3.1006  3.1405  3.0600  3.0779  3.1142  3.1506  3.0896
 141  0.823459  3.8536  4.0023  0.7189  3.0778  3.1183  3.0374  3.0550  3.0910  3.1272  3.0670
 142  0.823985  3.8532  3.9920  0.7278  3.0548  3.0961  3.0145  3.0317  3.0673  3.1034  3.0442
 143  0.824501  3.8526  3.9812  0.7369  3.0315  3.0740  2.9914  3.0079  3.0431  3.0789  3.0212
 144  0.825006  3.8520  3.9698  0.7461  3.0079  3.0519  2.9680  2.9836  3.0183  3.0539  2.9979
 145  0.825501  3.8513  3.9579  0.7553  2.9841  3.0298  2.9445  2.9589  2.9931  3.0284  2.9744
 146  0.825984  3.8504  3.9454  0.7646  2.9600  3.0078  2.9206  2.9339  2.9673  3.0023  2.9507
 147  0.826455  3.8494  3.9323  0.7740  2.9356  2.9859  2.8966  2.9083  2.9410  2.9756  2.9268
 148  0.826914  3.8483  3.9186  0.7834  2.9109  2.9642  2.8724  2.8823  2.9142  2.9483  2.9028
 149  0.827360  3.8470  3.9042  0.7929  2.8860  2.9427  2.8479  2.8558  2.8867  2.9204  2.8785
 150  0.827793  3.8456  3.8890  0.8025  2.8608  2.9214  2.8233  2.8289  2.8586  2.8918  2.8541
 151  0.828211  3.8439  3.8731  0.8121  2.8353  2.9003  2.7985  2.8014  2.8299  2.8624  2.8296
 152  0.828614  3.8421  3.8564  0.8218  2.8096  2.8795  2.7734  2.7734  2.8006  2.8324  2.8048
 153  0.829003  3.8401  3.8388  0.8315  2.7836  2.8590  2.7482  2.7450  2.7706  2.8016  2.7799
 154  0.829376  3.8379  3.8204  0.8412  2.7573  2.8389  2.7228  2.7160  2.7399  2.7701  2.7549
 155  0.829734  3.8355  3.8011  0.8510  2.7309  2.8193  2.6974  2.6866  2.7087  2.7378  2.7298
