#AGE=10.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1     
  64  0.668415  3.7160  4.6257 -0.5452  6.0677  6.5820  6.0806  5.8864  5.8208  5.7829  6.1399
  65  0.673219  3.7189  4.6215 -0.5265  6.0193  6.5213  6.0301  5.8407  5.7780  5.7423  6.0892
  66  0.677955  3.7216  4.6172 -0.5081  5.9719  6.4621  5.9808  5.7960  5.7360  5.7024  6.0395
  67  0.682619  3.7243  4.6128 -0.4900  5.9255  6.4044  5.9326  5.7521  5.6949  5.6633  5.9910
  68  0.687209  3.7269  4.6083 -0.4722  5.8801  6.3481  5.8854  5.7093  5.6545  5.6249  5.9436
  69  0.691720  3.7295  4.6037 -0.4546  5.8356  6.2934  5.8394  5.6673  5.6149  5.5873  5.8973
  70  0.696149  3.7319  4.5991 -0.4374  5.7922  6.2400  5.7945  5.6262  5.5762  5.5504  5.8520
  71  0.700503  3.7343  4.5942 -0.4204  5.7496  6.1880  5.7505  5.5860  5.5383  5.5142  5.8077
  72  0.704776  3.7366  4.5894 -0.4037  5.7080  6.1373  5.7075  5.5467  5.5011  5.4786  5.7644
  73  0.708976  3.7388  4.5845 -0.3873  5.6672  6.0877  5.6654  5.5081  5.4646  5.4437  5.7220
  74  0.713103  3.7409  4.5794 -0.3712  5.6272  6.0394  5.6241  5.4702  5.4287  5.4093  5.6804
  75  0.717166  3.7430  4.5743 -0.3552  5.5878  5.9920  5.5836  5.4329  5.3934  5.3754  5.6396
  76  0.721164  3.7451  4.5691 -0.3395  5.5491  5.9456  5.5438  5.3962  5.3585  5.3420  5.5995
  77  0.725104  3.7470  4.5638 -0.3240  5.5110  5.9002  5.5046  5.3600  5.3241  5.3089  5.5600
  78  0.728984  3.7489  4.5584 -0.3087  5.4734  5.8556  5.4659  5.3242  5.2900  5.2761  5.5211
  79  0.732805  3.7508  4.5529 -0.2935  5.4362  5.8119  5.4278  5.2888  5.2562  5.2435  5.4827
  80  0.736570  3.7525  4.5473 -0.2786  5.3996  5.7691  5.3903  5.2538  5.2227  5.2113  5.4449
  81  0.740279  3.7543  4.5416 -0.2638  5.3634  5.7270  5.3533  5.2193  5.1897  5.1793  5.4077
  82  0.744891  3.7564  4.5342 -0.2453  5.3184  5.6748  5.3073  5.1762  5.1484  5.1394  5.3613
  83  0.749457  3.7584  4.5265 -0.2270  5.2737  5.6232  5.2616  5.1335  5.1073  5.0997  5.3154
  84  0.753959  3.7603  4.5187 -0.2088  5.2294  5.5723  5.2165  5.0911  5.0665  5.0602  5.2699
  85  0.758382  3.7622  4.5106 -0.1907  5.1857  5.5222  5.1719  5.0492  5.0261  5.0210  5.2250
