#AGE=10.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1     
  11  0.101146  3.5077  5.3215 -2.8945 12.4309 14.6897 13.4532 12.1354 11.5317 11.2696 13.0061
  12  0.117965  3.5082  5.2496 -2.7536 12.0782 14.3224 13.0924 11.7828 11.1816 10.9189 12.6505
  13  0.138830  3.5090  5.1759 -2.6062 11.7087 13.9359 12.7131 11.4134 10.8152 10.5522 12.2776
  14  0.166519  3.5116  5.1112 -2.4519 11.3148 13.5029 12.2909 11.0178 10.4296 10.1696 11.8724
  15  0.193321  3.5160  5.0710 -2.3292 10.9930 13.1251 11.9262 10.6928 10.1209  9.8671 11.5328
  16  0.212559  3.5190  5.0444 -2.2497 10.7842 12.8803 11.6903 10.4822  9.9208  9.6710 11.3127
  17  0.228509  3.5214  5.0242 -2.1883 10.6230 12.6903 11.5076 10.3195  9.7666  9.5201 11.1424
  18  0.243654  3.5237  5.0066 -2.1338 10.4791 12.5201 11.3441 10.1744  9.6294  9.3860 10.9901
  19  0.259930  3.5261  4.9895 -2.0791 10.3350 12.3494 11.1805 10.0289  9.4921  9.2517 10.8375
  20  0.277807  3.5286  4.9730 -2.0235 10.1880 12.1749 11.0132  9.8806  9.3524  9.1154 10.6816
  21  0.292628  3.5307  4.9594 -1.9789 10.0704 12.0350 10.8793  9.7619  9.2408  9.0065 10.5567
  22  0.302691  3.5321  4.9497 -1.9488  9.9909 11.9405 10.7888  9.6816  9.1653  8.9330 10.4723
  23  0.309717  3.5331  4.9429 -1.9281  9.9364 11.8759 10.7269  9.6266  9.1136  8.8826 10.4145
  24  0.314930  3.5338  4.9378 -1.9129  9.8964 11.8287 10.6816  9.5863  9.0756  8.8456 10.3722
  25  0.318937  3.5344  4.9341 -1.9014  9.8660 11.7926 10.6470  9.5556  9.0468  8.8175 10.3398
  26  0.322124  3.5349  4.9308 -1.8920  9.8413 11.7633 10.6189  9.5306  9.0234  8.7947 10.3136
  27  0.324963  3.5353  4.9280 -1.8836  9.8192 11.7369 10.5936  9.5083  9.0025  8.7744 10.2901
  28  0.327922  3.5357  4.9253 -1.8752  9.7967 11.7098 10.5677  9.4856  8.9813  8.7538 10.2660
  29  0.331364  3.5363  4.9224 -1.8657  9.7715 11.6793 10.5385  9.4601  8.9576  8.7309 10.2390
  30  0.335800  3.5370  4.9192 -1.8539  9.7403 11.6415 10.5023  9.4285  8.9283  8.7025 10.2056
  31  0.341521  3.5378  4.9150 -1.8389  9.7003 11.5930 10.4559  9.3881  8.8909  8.6663 10.1627
  32  0.416515  3.5531  4.8478 -1.6243  9.1242 10.8761  9.7699  8.8059  8.3602  8.1566  9.5365
  33  0.435233  3.5579  4.8280 -1.5664  8.9680 10.6790  9.5792  8.6487  8.2192  8.0219  9.3648
  34  0.450176  3.5620  4.8118 -1.5192  8.8405 10.5172  9.4207  8.5208  8.1056  7.9135  9.2238
  35  0.463515  3.5658  4.7972 -1.4765  8.7247 10.3697  9.2754  8.4050  8.0033  7.8161  9.0951
  36  0.474850  3.5693  4.7845 -1.4395  8.6240 10.2409  9.1480  8.3044  7.9150  7.7321  8.9829
  37  0.485553  3.5727  4.7724 -1.4041  8.5272 10.1166  9.0248  8.2081  7.8309  7.6523  8.8747
  38  0.496264  3.5763  4.7605 -1.3683  8.4291  9.9900  8.8990  8.1106  7.7463  7.5721  8.7646
  39  0.507577  3.5802  4.7482 -1.3305  8.3245  9.8543  8.7644  8.0070  7.6569  7.4876  8.6469
  40  0.518506  3.5843  4.7365 -1.2934  8.2207  9.7191  8.6310  7.9044  7.5690  7.4048  8.5301
  41  0.529757  3.5886  4.7246 -1.2547  8.1121  9.5767  8.4913  7.7974  7.4777  7.3188  8.4076
  42  0.541944  3.5935  4.7121 -1.2126  7.9928  9.4193  8.3379  7.6802  7.3781  7.2253  8.2729
  43  0.555156  3.5992  4.6990 -1.1665  7.8617  9.2450  8.1698  7.5520  7.2696  7.1233  8.1249
  44  0.568705  3.6054  4.6864 -1.1185  7.7248  9.0606  7.9957  7.4188  7.1570  7.0175  7.9706
  45  0.582415  3.6121  4.6744 -1.0694  7.5843  8.8686  7.8189  7.2829  7.0421  6.9094  7.8126
  46  0.596364  3.6194  4.6633 -1.0191  7.4398  8.6680  7.6390  7.1441  6.9247  6.7990  7.6505
  47  0.610349  3.6270  4.6535 -0.9684  7.2930  8.4596  7.4578  7.0043  6.8065  6.6881  7.4859
  48  0.624035  3.6351  4.6453 -0.9182  7.1463  8.2462  7.2787  6.8659  6.6894  6.5787  7.3216
  49  0.637088  3.6432  4.6383 -0.8701  7.0050  8.0383  7.1099  6.7337  6.5762  6.4730  7.1644
  50  0.649495  3.6508  4.6318 -0.8247  6.8708  7.8408  6.9548  6.6084  6.4662  6.3704  7.0168
  51  0.661054  3.6579  4.6257 -0.7825  6.7463  7.6584  6.8146  6.4926  6.3626  6.2738  6.8813
  52  0.666729  3.6615  4.6228 -0.7617  6.6851  7.5692  6.7470  6.4358  6.3113  6.2260  6.8151
  53  0.672348  3.6649  4.6198 -0.7411  6.6251  7.4821  6.6810  6.3800  6.2606  6.1787  6.7503
  54  0.677941  3.6684  4.6168 -0.7207  6.5660  7.3970  6.6167  6.3249  6.2103  6.1318  6.6867
  55  0.683524  3.6718  4.6137 -0.7004  6.5075  7.3135  6.5536  6.2706  6.1604  6.0851  6.6240
  56  0.689131  3.6752  4.6105 -0.6803  6.4497  7.2316  6.4916  6.2167  6.1107  6.0386  6.5622
  57  0.694766  3.6785  4.6071 -0.6601  6.3924  7.1512  6.4306  6.1633  6.0613  5.9923  6.5011
  58  0.700448  3.6817  4.6036 -0.6400  6.3357  7.0723  6.3705  6.1104  6.0122  5.9462  6.4408
  59  0.706196  3.6849  4.6000 -0.6200  6.2796  6.9951  6.3109  6.0579  5.9635  5.9005  6.3812
  60  0.711983  3.6881  4.5962 -0.6001  6.2242  6.9196  6.2524  6.0062  5.9154  5.8552  6.3225
  61  0.717764  3.6912  4.5923 -0.5804  6.1698  6.8461  6.1950  5.9552  5.8679  5.8104  6.2648
  62  0.723490  3.6942  4.5884 -0.5609  6.1164  6.7744  6.1388  5.9052  5.8213  5.7664  6.2083
  63  0.729133  3.6971  4.5844 -0.5417  6.0641  6.7048  6.0840  5.8561  5.7755  5.7231  6.1531
  64  0.734660  3.7000  4.5802 -0.5228  6.0129  6.6373  6.0304  5.8082  5.7307  5.6808  6.0992
  65  0.740054  3.7028  4.5760 -0.5043  5.9630  6.5718  5.9781  5.7613  5.6869  5.6393  6.0466
  66  0.745275  3.7055  4.5717 -0.4861  5.9143  6.5084  5.9272  5.7156  5.6441  5.5987  5.9954
  67  0.750314  3.7081  4.5672 -0.4683  5.8669  6.4470  5.8777  5.6710  5.6024  5.5591  5.9456
  68  0.755166  3.7106  4.5627 -0.4508  5.8206  6.3875  5.8294  5.6274  5.5616  5.5204  5.8970
  69  0.759843  3.7131  4.5580 -0.4337  5.7755  6.3299  5.7824  5.5849  5.5217  5.4824  5.8497
  70  0.764377  3.7155  4.5533 -0.4169  5.7314  6.2738  5.7365  5.5434  5.4826  5.4452  5.8035
  71  0.768786  3.7177  4.5485 -0.4004  5.6883  6.2194  5.6918  5.5028  5.4444  5.4088  5.7584
  72  0.773096  3.7200  4.5436 -0.3841  5.6461  6.1664  5.6480  5.4630  5.4069  5.3730  5.7143
  73  0.777319  3.7221  4.5387 -0.3682  5.6048  6.1148  5.6052  5.4240  5.3702  5.3379  5.6712
  74  0.781476  3.7242  4.5337 -0.3525  5.5643  6.0645  5.5633  5.3858  5.3340  5.3033  5.6290
  75  0.785595  3.7263  4.5286 -0.3370  5.5245  6.0154  5.5221  5.3482  5.2984  5.2692  5.5876
  76  0.789676  3.7282  4.5234 -0.3217  5.4854  5.9673  5.4817  5.3112  5.2634  5.2355  5.5469
  77  0.793740  3.7301  4.5181 -0.3066  5.4469  5.9203  5.4420  5.2747  5.2288  5.2023  5.5069
  78  0.797799  3.7320  4.5128 -0.2917  5.4090  5.8742  5.4029  5.2387  5.1946  5.1695  5.4675
  79  0.801863  3.7338  4.5074 -0.2769  5.3716  5.8290  5.3644  5.2032  5.1607  5.1369  5.4287
  80  0.805926  3.7355  4.5020 -0.2623  5.3346  5.7847  5.3264  5.1680  5.1272  5.1047  5.3904
  81  0.809970  3.7372  4.4966 -0.2479  5.2982  5.7412  5.2890  5.1334  5.0942  5.0729  5.3528
  82  0.814430  3.7390  4.4904 -0.2321  5.2584  5.6938  5.2482  5.0954  5.0580  5.0379  5.3116
  83  0.818856  3.7408  4.4843 -0.2165  5.2192  5.6473  5.2079  5.0580  5.0222  5.0034  5.2711
  84  0.823234  3.7425  4.4779 -0.2010  5.1804  5.6017  5.1682  5.0210  4.9868  4.9691  5.2311
  85  0.827551  3.7442  4.4715 -0.1857  5.1423  5.5569  5.1292  4.9845  4.9518  4.9353  5.1917
  86  0.831794  3.7457  4.4650 -0.1707  5.1046  5.5130  5.0907  4.9485  4.9172  4.9018  5.1530
  87  0.835955  3.7473  4.4584 -0.1558  5.0675  5.4698  5.0527  4.9129  4.8830  4.8687  5.1148
  88  0.840021  3.7487  4.4516 -0.1411  5.0309  5.4274  5.0154  4.8779  4.8493  4.8359  5.0772
  89  0.843984  3.7501  4.4448 -0.1265  4.9949  5.3858  4.9787  4.8434  4.8161  4.8036  5.0402
  90  0.847834  3.7515  4.4378 -0.1123  4.9595  5.3451  4.9425  4.8094  4.7833  4.7717  5.0038
  91  0.851568  3.7528  4.4308 -0.0982  4.9246  5.3051  4.9070  4.7759  4.7510  4.7402  4.9680
  92  0.855202  3.7540  4.4237 -0.0843  4.8903  5.2660  4.8721  4.7429  4.7191  4.7091  4.9328
  93  0.858744  3.7552  4.4166 -0.0706  4.8564  5.2275  4.8377  4.7103  4.6876  4.6784  4.8982
  94  0.862201  3.7563  4.4092 -0.0571  4.8231  5.1898  4.8038  4.6781  4.6564  4.6479  4.8641
  95  0.865576  3.7574  4.4019 -0.0438  4.7902  5.1527  4.7703  4.6464  4.6256  4.6178  4.8304
  96  0.868870  3.7584  4.3945 -0.0306  4.7577  5.1163  4.7374  4.6151  4.5952  4.5880  4.7973
