#AGE=10.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1     
  11  0.099259  3.5327  5.3924 -2.8733 12.2030 14.1407 12.7059 11.8573 11.4894 11.3108 12.5627
  12  0.109345  3.5397  5.3443 -2.7552 11.8932 13.7501 12.3396 11.5539 11.2053 11.0302 12.2312
  13  0.120263  3.5468  5.2951 -2.6366 11.5811 13.3613 11.9777 11.2479 10.9177 10.7467 11.8991
  14  0.133177  3.5542  5.2454 -2.5128 11.2543 12.9580 11.6060 10.9271 10.6152 10.4492 11.5532
  15  0.148409  3.5618  5.2004 -2.3904 10.9311 12.5610 11.2448 10.6096 10.3148 10.1541 11.2127
  16  0.164593  3.5687  5.1656 -2.2831 10.6479 12.2130 10.9325 10.3312 10.0507  9.8950 10.9153
  17  0.179484  3.5742  5.1391 -2.1970 10.4209 11.9350 10.6854 10.1081  9.8381  9.6867 10.6778
  18  0.192887  3.5784  5.1172 -2.1268 10.2367 11.7115 10.4872  9.9269  9.6646  9.5164 10.4861
  19  0.205911  3.5820  5.0970 -2.0640 10.0731 11.5149 10.3127  9.7660  9.5097  9.3642 10.3163
  20  0.219574  3.5852  5.0779 -2.0040  9.9171 11.3288 10.1475  9.6125  9.3614  9.2184 10.1550
  21  0.234322  3.5884  5.0594 -1.9448  9.7638 11.1468  9.9861  9.4617  9.2155  9.0748  9.9968
  22  0.249933  3.5914  5.0419 -1.8874  9.6152 10.9703  9.8300  9.3156  9.0739  8.9355  9.8435
  23  0.269216  3.5947  5.0235 -1.8232  9.4496 10.7730  9.6565  9.1528  8.9159  8.7800  9.6728
  24  0.287942  3.5977  5.0075 -1.7661  9.3025 10.5981  9.5029  9.0083  8.7755  8.6419  9.5213
  25  0.301464  3.5997  4.9967 -1.7274  9.2025 10.4794  9.3987  8.9101  8.6800  8.5480  9.4184
  26  0.310186  3.6009  4.9904 -1.7039  9.1421 10.4078  9.3358  8.8507  8.6222  8.4911  9.3562
  27  0.316282  3.6017  4.9864 -1.6882  9.1016 10.3600  9.2937  8.8109  8.5835  8.4530  9.3146
  28  0.320747  3.6023  4.9835 -1.6769  9.0724 10.3254  9.2633  8.7822  8.5556  8.4256  9.2846
  29  0.324435  3.6028  4.9812 -1.6676  9.0483 10.2968  9.2383  8.7586  8.5327  8.4031  9.2598
  30  0.328235  3.6033  4.9799 -1.6590  9.0260 10.2698  9.2149  8.7368  8.5116  8.3824  9.2367
  31  0.332516  3.6039  4.9775 -1.6487  8.9992 10.2378  9.1869  8.7105  8.4860  8.3573  9.2091
  32  0.336997  3.6045  4.9743 -1.6372  8.9694 10.2024  9.1559  8.6812  8.4576  8.3294  9.1784
  33  0.344108  3.6055  4.9702 -1.6200  8.9248 10.1490  9.1094  8.6375  8.4152  8.2878  9.1324
  34  0.350847  3.6065  4.9641 -1.6015  8.8767 10.0918  9.0593  8.5902  8.3692  8.2427  9.0829
  35  0.365815  3.6091  4.9505 -1.5595  8.7675  9.9602  8.9453  8.4832  8.2657  8.1413  8.9701
  36  0.388427  3.6139  4.9269 -1.4904  8.5862  9.7376  8.7550  8.3061  8.0951  7.9748  8.7821
  37  0.413385  3.6203  4.8982 -1.4092  8.3715  9.4708  8.5285  8.0969  7.8948  7.7798  8.5586
  38  0.436967  3.6277  4.8684 -1.3260  8.1500  9.1922  8.2937  7.8819  7.6902  7.5813  8.3271
  39  0.453757  3.6338  4.8476 -1.2641  7.9840  8.9793  8.1164  7.7214  7.5388  7.4351  8.1526
  40  0.466040  3.6390  4.8326 -1.2166  7.8554  8.8106  7.9781  7.5980  7.4234  7.3241  8.0167
  41  0.476461  3.6440  4.8202 -1.1749  7.7419  8.6598  7.8558  7.4895  7.3224  7.2273  7.8964
  42  0.485779  3.6487  4.8095 -1.1368  7.6385  8.5220  7.7444  7.3909  7.2306  7.1395  7.7866
  43  0.494590  3.6534  4.8000 -1.1007  7.5403  8.3909  7.6388  7.2975  7.1438  7.0566  7.6824
  44  0.502978  3.6580  4.7915 -1.0664  7.4469  8.2659  7.5383  7.2089  7.0617  6.9784  7.5832
  45  0.510542  3.6624  4.7843 -1.0351  7.3617  8.1514  7.4466  7.1283  6.9872  6.9076  7.4925
  46  0.517689  3.6668  4.7779 -1.0052  7.2800  8.0413  7.3587  7.0512  6.9163  6.8403  7.4055
  47  0.524841  3.6714  4.7718 -0.9749  7.1977  7.9306  7.2703  6.9736  6.8448  6.7727  7.3178
  48  0.532432  3.6763  4.7656 -0.9427  7.1107  7.8149  7.1773  6.8915  6.7689  6.7010  7.2254
  49  0.540798  3.6818  4.7590 -0.9074  7.0157  7.6902  7.0762  6.8017  6.6858  6.6223  7.1248
  50  0.550090  3.6879  4.7516 -0.8683  6.9117  7.5553  6.9659  6.7034  6.5945  6.5359  7.0149
  51  0.560096  3.6944  4.7436 -0.8263  6.8008  7.4131  6.8486  6.5985  6.4970  6.4436  6.8979
  52  0.565243  3.6978  4.7396 -0.8047  6.7440  7.3406  6.7886  6.5449  6.4472  6.3965  6.8381
  53  0.570427  3.7013  4.7356 -0.7829  6.6873  7.2678  6.7285  6.4914  6.3975  6.3495  6.7782
  54  0.575612  3.7047  4.7314 -0.7610  6.6309  7.1956  6.6689  6.4383  6.3483  6.3030  6.7187
  55  0.580774  3.7081  4.7273 -0.7393  6.5752  7.1247  6.6101  6.3858  6.2995  6.2570  6.6600
  56  0.585891  3.7115  4.7230 -0.7179  6.5205  7.0558  6.5526  6.3342  6.2514  6.2113  6.6025
  57  0.590943  3.7148  4.7187 -0.6967  6.4669  6.9888  6.4964  6.2836  6.2041  6.1665  6.5464
  58  0.595920  3.7179  4.7142 -0.6760  6.4146  6.9237  6.4417  6.2342  6.1578  6.1226  6.4916
  59  0.600807  3.7210  4.7097 -0.6556  6.3637  6.8605  6.3884  6.1861  6.1128  6.0798  6.4383
  60  0.605624  3.7240  4.7050 -0.6356  6.3139  6.7988  6.3364  6.1390  6.0686  6.0379  6.3862
  61  0.610378  3.7269  4.7003 -0.6158  6.2650  6.7384  6.2853  6.0928  6.0253  5.9966  6.3350
  62  0.615074  3.7297  4.6955 -0.5962  6.2169  6.6792  6.2351  6.0474  5.9826  5.9560  6.2847
  63  0.619707  3.7325  4.6906 -0.5770  6.1696  6.6212  6.1859  6.0028  5.9407  5.9161  6.2354
  64  0.624277  3.7353  4.6857 -0.5579  6.1232  6.5644  6.1376  5.9589  5.8995  5.8768  6.1870
  65  0.628784  3.7379  4.6807 -0.5391  6.0776  6.5087  6.0901  5.9158  5.8590  5.8381  6.1394
  66  0.633233  3.7405  4.6755 -0.5206  6.0326  6.4541  6.0434  5.8734  5.8190  5.7998  6.0925
  67  0.637623  3.7430  4.6703 -0.5022  5.9883  6.4005  5.9975  5.8315  5.7795  5.7621  6.0464
  68  0.641952  3.7455  4.6650 -0.4842  5.9448  6.3478  5.9523  5.7903  5.7406  5.7248  6.0011
  69  0.646213  3.7479  4.6597 -0.4663  5.9019  6.2960  5.9078  5.7499  5.7024  5.6883  5.9565
  70  0.650421  3.7503  4.6543 -0.4487  5.8598  6.2447  5.8641  5.7103  5.6652  5.6526  5.9126
  71  0.654570  3.7526  4.6487 -0.4312  5.8183  6.1941  5.8211  5.6714  5.6285  5.6173  5.8694
  72  0.658648  3.7548  4.6430 -0.4140  5.7774  6.1445  5.7787  5.6329  5.5922  5.5825  5.8268
  73  0.662663  3.7569  4.6373 -0.3970  5.7370  6.0960  5.7368  5.5947  5.5561  5.5478  5.7847
  74  0.666607  3.7590  4.6315 -0.3802  5.6970  6.0486  5.6956  5.5569  5.5202  5.5132  5.7433
  75  0.670491  3.7611  4.6257 -0.3637  5.6576  6.0020  5.6550  5.5195  5.4847  5.4790  5.7025
  76  0.674312  3.7631  4.6198 -0.3474  5.6188  5.9563  5.6150  5.4826  5.4497  5.4452  5.6623
  77  0.678066  3.7650  4.6140 -0.3313  5.5805  5.9114  5.5757  5.4464  5.4153  5.4120  5.6228
  78  0.681756  3.7669  4.6082 -0.3155  5.5429  5.8672  5.5369  5.4107  5.3813  5.3792  5.5839
  79  0.685381  3.7688  4.6024 -0.2999  5.5060  5.8239  5.4989  5.3756  5.3480  5.3470  5.5457
  80  0.688945  3.7707  4.5967 -0.2846  5.4696  5.7812  5.4614  5.3410  5.3152  5.3153  5.5080
  81  0.692437  3.7725  4.5911 -0.2695  5.4338  5.7394  5.4247  5.3071  5.2830  5.2842  5.4711
  82  0.697385  3.7751  4.5831 -0.2481  5.3832  5.6802  5.3726  5.2590  5.2373  5.2400  5.4187
  83  0.702289  3.7776  4.5752 -0.2268  5.3329  5.6214  5.3209  5.2114  5.1920  5.1963  5.3667
  84  0.707155  3.7802  4.5673 -0.2056  5.2831  5.5629  5.2697  5.1642  5.1473  5.1530  5.3152
  85  0.711964  3.7828  4.5594 -0.1846  5.2336  5.5049  5.2188  5.1174  5.1029  5.1100  5.2640
  86  0.716706  3.7853  4.5515 -0.1637  5.1844  5.4475  5.1683  5.0709  5.0588  5.0673  5.2132
  87  0.721367  3.7878  4.5436 -0.1429  5.1355  5.3905  5.1180  5.0245  5.0147  5.0246  5.1627
  88  0.725940  3.7902  4.5354 -0.1222  5.0867  5.3339  5.0680  4.9783  4.9708  4.9820  5.1123
  89  0.730423  3.7927  4.5271 -0.1016  5.0382  5.2778  5.0182  4.9323  4.9271  4.9395  5.0622
  90  0.734813  3.7950  4.5186 -0.0811  4.9896  5.2219  4.9685  4.8861  4.8831  4.8968  5.0122
  91  0.739109  3.7973  4.5098 -0.0606  4.9412  5.1663  4.9189  4.8401  4.8393  4.8541  4.9623
  92  0.743316  3.7995  4.5006 -0.0401  4.8929  5.1108  4.8695  4.7943  4.7957  4.8115  4.9126
  93  0.747435  3.8016  4.4911 -0.0196  4.8452  5.0553  4.8207  4.7491  4.7527  4.7695  4.8634
